Code,Price
"""U""TUBE",124.00000
1001TBA,63.00000
1001TBW,40.00000
1012 AAA SW4 RE,40.00000
1012BP2,18.00000
1012BP20,13.00000
1012BP4,17.00000
1012SW4,13.05000
1015BP2,21.00000
1015BP2(6X2),15.66000
1015BP2X10,16.00000
1015BP4,18.00000
1015BP4  PERFO,17.00000
1015BP4(3+1),7.36000
1015BP4(6*4),15.66000
1015BP4-BC,10.98000
1015SW2,10.63580
1015SW4(3+1),7.97680
1015SW6 - PROMO,7.09050
1015SW8,8.23785
1015TP1,14.37500
1015-TP1 PLAIN,7.76000
1015TP1-PROMO,14.37500
1015TS,10.63580
1035BP2,42.00000
1035MJSW2,35.11000
1050,23.02000
1050 (5+1),22.58000
1050 SW4,24.00000
1050/1015 COMBO,255.26000
1050/1015PROMO.,22.31000
1050/1250PROMO.,20.82000
1050A,16.86000
1050AA-PROMO,19.02000
1050B,16.86000
1050BP2,17.43000
1050C,16.86000
1050D,16.86000
1050E,16.86000
1050F,16.86000
1050G,16.86000
1050H,16.86000
1050I,16.86000
1050J,16.86000
1050K,16.86000
1050L,16.86000
1050M,16.86000
1050N,16.86000
1050O,16.86000
1050P,16.86000
1050Q,16.86000
1050SW10 PROMO,29.00000
1050SW10B100,25.20000
1050SW10-E,29.00000
1050SW12,19.35080
1050SW12B288,17.43000
1050SW2 B100,25.20000
1050SW2 BLK-2,10.11870
1050SW2 B-PACK,17.21000
1050SW2B100IMP,25.20000
1050SW3B108,15.89000
1050SW4 B96,24.00000
1050SW6B108,13.39000
1050SW6B144,23.90000
1050TP,17.43000
1151,24.61000
1155,24.61000
1161,30.00000
1162,22.39000
1163,24.61000
1215BBP4,19.46000
1215BP2,25.00000
1215BP2(6X2),20.08000
1215BP4 PERFO,22.00000
1215BP4(3+1),9.47000
1215BP4(6X4),19.20000
1215Y,17.51000
1215Y-BP4,9.30000
1222BP1-1,88.00000
1222SW-1,92.00000
1235BP2,17.68000
1235Y,17.68000
1250 R20P,32.03000
1250 R20P-E,26.78000
1250BE,10.27000
1250BP2,22.44000
1250SW10B100,41.00000
1250SW12,25.21470
1250SW12 B288,22.44000
1250SW2 BLK-1,22.17000
1250SW2 BLK-2,22.16660
1250SW2B100,32.03000
1250SW2B100IMP,41.00000
1250Y,22.44000
1404,42.00000
1405,41.05000
1417,19.30000
1420B,42.00000
1421,42.00000
1422,19.30000
150CPU,"1,772.60000"
185W,14.19000
185Z,13.99000
186BP,20.00000
188O,17.49000
188W,17.49000
193S,35.00000
193W,37.30000
195W,27.97000
197E,29.31000
197N,35.00000
197W,38.48000
216,70.00000
31.3405.C,24.94000
31.3415C,32.23000
31.3425 C,24.70000
31.3427.A,23.02000
31.3495A,13.39000
31.3901 A,30.80000
31.3902 A,30.80000
31.6422.A  QR,462.89000
31.6427 A,331.55000
31.646.A QB,153.02000
31.6463A,102.01000
31.8432 C,237.07000
31.8437A,314.00000
31.8473 B,62.07000
31.8490A,194.31000
31.8498A,467.22000
3134S,47.41000
3180S,237.07000
3181S,26.72000
3197 D,24.58500
319BP,22.60000
3207V/A,213.25000
3208T,175.87000
3270O,237.07000
3271O,267.24000
3515,174.00000
3518,103.88000
3528,45.20000
3539,349.13000
3616O,226.36000
362BP,25.00000
364BP,45.00000
3691,135.93000
371BP,71.00000
377BP,45.00000
381BP,22.60000
3822P,98.56000
3823,201.90000
3823P,175.63000
3853,221.00000
3853 LED 1,221.00000
3853 PROMO.,221.00000
3857,264.00000
3857 LED 1,264.00000
3859PROMO.,274.24000
386BP,22.60000
389BP,22.60000
390BP,37.00000
391BP,22.60000
392BP,27.00000
393BP,22.60000
394BP,41.00000
395BP,34.00000
396BP,22.60000
397BP,22.60000
399BP,33.00000
4212BP,89.65521
4-RC102,"2,110.00000"
4-X251,328.00000
504BP,218.95000
522BP1-AF,229.00000
522BP1-LL,305.00000
522BP1-MAX,278.03000
539BP,77.60000
544BP,149.30000
7503405E,28.00000
7503415C,23.53000
7503417C,27.00000
7503425E,48.00000
7503427C,27.00000
7503515E,31.29000
7506342B,328.00000
7506344A,172.00000
7508490B,123.75000
7508498B,575.00000
75087300,68.88500
7510027A,60.26430
7510029A,276.81200
7510083A,148.26050
7510136A,366.65000
7510163A,136.77500
7510234A,136.82750
7510431A,33.00000
7510458A,17.00000
7510515A,22.88000
7510516A,26.14000
7510591A,472.43000
7510607A,416.00000
7510608A,693.00000
7510640A,60.26330
7510642A,192.50000
7510709A,173.00000
7510711A,86.00000
7510822B,207.00000
7510943A,346.38000
7510944A,235.34000
7510945A,127.00000
7511125A,22.56000
751160A,624.00000
7511984B,33.00000
7511985B,41.00000
"9 """" TUBE",127.13000
"9""""TUBE",125.00000
"9""TUBE",120.00000
912SW4,10.00000
915B,10.14000
915SW4(3+1),11.00000
915TP1,11.04000
915TP1PROMO,8.75000
9215,112.74000
935SW2,8.05000
950/1050B144,16.58250
950/1250PROMO,16.50000
950/915COM/PACK,131.70960
950/915PROMO.,13.00000
950-915PACK,"2,000.00000"
