Item Code,Conversion Id
"""U"" TUBE",1
1001TBA,1
1001TBW,1
1012BP2,2
1012BP20,2
1012BP4,4
1015BP2,2
1015BP2X10,2
1015BP4  PERFO,4
1035MJSW2,2
1050SW2B100IMP,2
1155,1
1161,1
1162,1
1215BBP4,4
1215BP2,2
1215BP4 PERFO,4
1222BP1-1,1
1222SW-1,1
1250 R20P,2
1250SW2B100IMP,2
1404,1
1405,1
1420B,1
1421,1
364BP,1
371BP,1
377BP,1
3853 LED 1,1
3857 LED 1,1
522BP1-LL,1
522BP1-MAX,1
7503405E,5
7503417C,6
7503425E,5
7503427C,6
7506342B,1
7506344A,4
7510431A,1
7510458A,5
7510607A,3
7510608A,1
7510709A,1
7510711A,2
7510822B,4
7510943A,1
7510945A,3
751160A,1
7511984B,1
7511985B,1
912SW4,4
915B,4
950SW10,2
950SW2B100IMP,2
A23BP-1,1
A27BP1,1
A-76BP,2
A91BP20-EG,11
A91BP2-EG,2
A91BP4-EG,4
A92BP2-EG,2
A92BP4-EG,4
AUTOLED,1
AV458G,1
CH2PC3,1
CHCCWB4,1
CHDCW4B.,1
CR2 BP,1
DIN55LMF,1
DIN55MF,1
DIN88LMF,1
DOL2A2,1
DOL2D2,1
E220 RED,1
E220 RED PROMO,1
E250 RED,1
E250 RED PROMO,1
E250 RED PROMO,1
E90BP-2,1
E91BP2-LL,2
E91BP2-MAX,2
E91BP4(3+1)LL,4
E91BP4(3+1)MAX,4
E91BP4-LL,4
E91BP4-MAX,4
E91BP6(4+2)-LL,7
E91BP6(4+2)-MAX,7
E92BP2-LL,2
E92BP2-MAX,2
E92BP4(3+1) MAX,4
E92BP4(3+1)-LL,4
E92BP4-LL,4
E92BP4-MAX,4
E92BP6(4+2)-LL,7
E92BP6(4+2)MAX,7
E93BP2-LL,2
E93BP2-MAX,2
E95BP2-LL,2
E95BP2-MAX,2
E96BP-2,2
EC4D2,1
ECR1620BP5,1
ECR2016BP,1
ECR2025BP,1
ECR2032BP,1
EL123APBP,1
EL2CR5BP,1
FNL2B1,1
HD4L33AE,1
HD7L33AE,1
HDCL2BU,1
HDL2BU1,1
HDL33A,1
KPR103,1
KPR104,1
L91BP2,2
L92BP2,2
LED2BU1,1
LED3BUI,1
LEDONE PROMO,1
LEDONE RVSMBK,1
LP212,1
N40,1
N40L,1
N40LMF,1
N40MF,1
N40S,1
N40SL,1
N40SLMF,1
N40SMF,1
N70,1
N70L,1
N70LMF,1
N70MF,1
NH12BP2,2
NH15BP2,2
NH15BP2-2500,2
NH15BP4,4
NH22BP1-175MAH,1
NS40MF,1
NS40SLMF,1
NS40SMF,1
NS70,1
NS70L,1
NS70LMF,1
NS70MF,1
PIBALBD00004-BK,15
PIBALBD00004-BL,15
PIBALBD00004-RD,15
PIBALCR00006-BK,15
PIBALCR00006-BL,15
PIBALCR00006-RD,15
PIBALPN00005-BK,15
PIBALPN00005-BL,15
PIBALPN00005-RD,15
PIERASH00003,19
PIFNTSC00007,16
PIFNTTR00008,16
PIMRKPROP010,18
PIMRKPRPR012-BK,17
PIMRKPRPR012-BL,17
PIMRKPRPR012-RD,17
PIMRKWTCS011-BK,17
PIMRKWTCS011-BL,17
PIMRKWTCS011-RD,17
PIPENHB00001,17
PIPENHB00002,17
PL314M,1
PRO123A,1
PRO2AA1,1
PRO4AA,1
PROSW2AA,1
RC102,1
RC110-SK,1
S7898I40WB22,1
S7899I40WE27,1
S7900I60WB22,1
S7901I60WE27,1
S7902I100WB22,1
S7903I100WE27,1
S7904F2U7WB22,1
S7905F2U7WE27,1
S7906F2U9WB22,1
S7907F2U9WE27,1
S7908F2U11WB22,1
S7909F2U11WE27,1
S7910F2U15WB22,1
S7911F2U15WE27,1
S7912F2U7WB22,1
S7913F2U7WE27,1
S7914F2U11WB22,1
S7915F2U11WE27,1
S7916F2U15WB22,1
S7917F2U15WE27,1
S7918F3U9WB22,1
S7919F3U9WE27,1
S7920F3U11WB22,1
S7921F3U11WE27,1
S7922F3U15WB22,1
S7923F3U15WE27,1
S7924F3U9WB22,1
S7925F3U9WE27,1
S7926F3U11WB22,1
S7927F3U11WE27,1
S7928F3U15WB22,1
S7929F3U15WE27,1
S7936F2U9WB22,1
S7937F2U9WE27,1
S7939F2U7WB15,1
S7940F2U7WE14,1
S7941F2U9WB15,1
S7942F2U9WB15,1
S7943F2U11WB15,1
S7944F2U11WE14,1
S7945F2U15WB15,1
S7947F2U7WB15,1
S7948F2U7WE14,1
S7949F2U9WB15,1
S7950F2U9WE14,1
S7951F2U11WB15,1
S7952F2U11WE14,1
S7953F2U15WB15,1
S7954F2U15WE14,1
S7955F3U9WB15,1
S7956F3U9WE14,1
S7957F3U11WB15,1
S7961F3U15WB15,1
S8895I75B22,1
TD70MF,1
